,ID,Condition,Sentence,Construction,Semantic_Role,Prompt_GPT,Prompt_BERT,Verb_to_retrieve,DObj_to_retrieve
12,3.0,AT - T,"The doctor cuts the hair, and the hairdresser does too. ",VP-ellipsis,Agent,"The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is","The doctor cuts the hair, and the hairdresser does too. What the hairdresser does is [MASK] hair.",cut,hair
13,3.0,AT - AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent,"The doctor cuts the hair, and the butcher does too. What the butcher does is","The doctor cuts the hair, and the butcher does too. What the butcher does is [MASK] hair.",cut,hair
14,3.0,T - SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent,"The barber cuts the hair, and happiness does too. What the happiness does is","The barber cuts the hair, and happiness does too. What the happiness does is [MASK] hair.",cut,hair
15,4.0,T - T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent,"The butcher used the knife, and the soldier did too. What the soldier did was","The butcher used the knife, and the soldier did too. What the soldier did was [MASK] the knife.",use,knife
16,4.0,T - AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent,"The butcher used the knife, and the teacher did too. What the teacher did was","The butcher used the knife, and the teacher did too. What the teacher did was [MASK] the knife.",use,knife
17,4.0,AT - T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent,"The bricklayer used the knife, and the soldier did too. What the soldier did was","The bricklayer used the knife, and the soldier did too. What the soldier did was [MASK] the knife.",use,knife
18,4.0,AT - AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent,"The bricklayer used the knife, and the teacher did too. What the teacher did was","The bricklayer used the knife, and the teacher did too. What the teacher did was [MASK] the knife.",use,knife
19,4.0,T - SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent,"The butcher used the knife, and the dish did too. What the dish did was","The butcher used the knife, and the dish did too. What the dish did was [MASK] the knife.",use,knife
20,5.0,T - T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is","The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is [MASK] the board.",flip,board
21,5.0,T - AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is","The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is [MASK] the board.",flip,board
22,5.0,AT - T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,"The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is","The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is [MASK] the board.",flip,board
23,5.0,AT - AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,"The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is","The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is [MASK] the board.",flip,board
24,5.0,T - SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is","The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is [MASK] the board.",flip,board
25,6.0,T - T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the speaker did too. What the speaker did was","The comedian entertained the audience, and the speaker did too. What the speaker did was [MASK] the audience.",entertain,audience
26,6.0,T - AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the student did too. What the student did was","The comedian entertained the audience, and the student did too. What the student did was [MASK] the audience.",entertain,audience
27,6.0,AT - T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent,"The doctor entertained the audience, and the speaker did too. What the speaker did was","The doctor entertained the audience, and the speaker did too. What the speaker did was [MASK] the audience.",entertain,audience
28,6.0,AT - AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent,"The doctor entertained the audience, and the student did too. What the student did was","The doctor entertained the audience, and the student did too. What the student did was [MASK] the audience.",entertain,audience
29,6.0,T - SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the bottle did too. What the bottle did was","The comedian entertained the audience, and the bottle did too. What the bottle did was [MASK] the audience.",entertain,audience
30,7.0,T - T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the artist didn't. What the artist didn't do was","The sculptor carved the stone, but the artist didn't. What the artist didn't do was [MASK] the stone.",carve,stone
31,7.0,T - AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was","The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was [MASK] the stone.",carve,stone
32,7.0,AT - T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent,"The therapist carved the stone, but the artist didn't. What the artist didn't do was","The therapist carved the stone, but the artist didn't. What the artist didn't do was [MASK] the stone.",carve,stone
33,7.0,AT - AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,"The therapist carved the stone, but the butcher didn't. What the butcher didn't do was","The therapist carved the stone, but the butcher didn't. What the butcher didn't do was [MASK] the stone.",carve,stone
34,7.0,T - SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the sound didn't. What the sound didn't do was","The sculptor carved the stone, but the sound didn't. What the sound didn't do was [MASK] the stone.",carve,stone
35,8.0,T - T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the biker. What the biker did was","The soldier wore a helmet, and so did the biker. What the biker did was [MASK] a helmet.",wear,helmet
36,8.0,T - AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the professor. What the professor did was","The soldier wore a helmet, and so did the professor. What the professor did was [MASK] a helmet.",wear,helmet
37,8.0,AT - T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,"The swimmer wore a helmet, and so did the biker. What the biker did was","The swimmer wore a helmet, and so did the biker. What the biker did was [MASK] a helmet.",wear,helmet
38,8.0,AT - AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,"The swimmer wore a helmet, and so did the professor. What the professor did was","The swimmer wore a helmet, and so did the professor. What the professor did was [MASK] a helmet.",wear,helmet
39,8.0,T - SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the tree. What the tree did was","The soldier wore a helmet, and so did the tree. What the tree did was [MASK] a helmet.",wear,helmet
40,9.0,T - T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the mother did the same thing. What the mother did was","The teacher helped the child, and the mother did the same thing. What the mother did was [MASK] the child.",help,child
41,9.0,T - AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the cook did the same thing. What the cook did was","The teacher helped the child, and the cook did the same thing. What the cook did was [MASK] the child.",help,child
42,9.0,AT - T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,"The florist helped the child, and the mother did the same thing. What the mother did was","The florist helped the child, and the mother did the same thing. What the mother did was [MASK] the child.",help,child
43,9.0,AT - AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent,"The florist helped the child, and the cook did the same thing. What the cook did was","The florist helped the child, and the cook did the same thing. What the cook did was [MASK] the child.",help,child
44,9.0,T - SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the boat did the same thing. What the boat did was","The teacher helped the child, and the boat did the same thing. What the boat did was [MASK] the child.",help,child
45,10.0,T - T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the student. What the student does is","The programmer uses the computer, and so does the student. What the student does is [MASK]",use,computer
46,10.0,T - AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the farmer. What the farmer does is","The programmer uses the computer, and so does the farmer. What the farmer does is [MASK] the computer.",use,computer
47,10.0,AT - T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,"The lumberjack uses the computer, and so does the student. What the student does is","The lumberjack uses the computer, and so does the student. What the student does is [MASK] the computer.",use,computer
48,10.0,AT - AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,"The lumberjack uses the computer, and so does the farmer. What the farmer does is","The lumberjack uses the computer, and so does the farmer. What the farmer does is [MASK] the computer.",use,computer
49,10.0,T - SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the chair. What the chair does is","The programmer uses the computer, and so does the chair. What the chair does is [MASK] the computer.",use,computer
50,11.0,T - T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent,"The spectator bought a ticket, and the passenger did so too. What the passeenger did was","The spectator bought a ticket, and the passenger did so too. What the passeenger did was [MASK] a ticket.",buy,ticket
51,11.0,T - AT,"The spectator bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,"The spectator bought a ticket, and the cook did so too. What the cook did was","The spectator bought a ticket, and the cook did so too. What the cook did was [MASK] a ticket.",buy,ticket
52,11.0,AT - T,"The housewife bought a ticket, and the passenger did so too.",Do-x/ Do-so anaphora,Agent,"The housewife bought a ticket, and the passenger did so too. What the passenger did was","The housewife bought a ticket, and the passenger did so too. What the passenger did was [MASK] a ticket.",buy,ticket
53,11.0,AT - AT,"The housewife bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,"The housewife bought a ticket, and the cook did so too. What the cook did was","The housewife bought a ticket, and the cook did so too. What the cook did was [MASK] a ticket.",buy,ticket
54,11.0,T - SP violation,"The spectator bought a ticket, and the turtle did so too.",Do-x/ Do-so anaphora,Agent,"The spectator bought a ticket, and the turtle did so too. What the turtle did was","The spectator bought a ticket, and the turtle did so too. What the turtle did was [MASK] a ticket.",buy,ticket
55,12.0,T - T,"The terrorist released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,"The terrorist released the hostage, and the soldiers did the same thing. What soldiers did was","The terrorist released the hostage, and the soldiers did the same thing. What soldiers did was [MASK] the hostage.",release,hostage
56,12.0,T - AT,"The terrorist released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,"The terrorist released the hostage, and the artist did the same thing. What the artist did was","The terrorist released the hostage, and the artist did the same thing. What the artist did was [MASK] the hostage.",release,hostage
57,12.0,AT - T,"The electrician released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,"The electrician released the hostage, and the soldiers did the same thing. What soldiers did was","The electrician released the hostage, and the soldiers did the same thing. What soldiers did was [MASK] the hostage.",release,hostage
58,12.0,AT - AT,"The electrician released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,"The electrician released the hostage, and the artist did the same thing. What the artist did was","The electrician released the hostage, and the artist did the same thing. What the artist did was [MASK] the hostage.",release,hostage
59,12.0,T - SP violation,"The terrorist released the hostage, and the jacket did the same thing.",Do-x/ Do-so anaphora,Agent,"The terrorist released the hostage, and the jacket did the same thing. What the jacket did was","The terrorist released the hostage, and the jacket did the same thing. What the jacket did was [MASK] the hostage.",release,hostage
60,13.0,T - T,"The farmer plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,"The farmer plowed the field, and the man did so too. What the man did was","The farmer plowed the field, and the man did so too. What the man did was [MASK] the field.",plow,field
61,13.0,T - AT,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,"The farmer plowed the field, and the waiter did so too. What the waiter did was","The farmer plowed the field, and the waiter did so too. What the waiter did was [MASK] the field.",plow,field
62,13.0,AT - T,"The bartender plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,"The bartender plowed the field, and the man did so too. What the man did was","The bartender plowed the field, and the man did so too. What the man did was [MASK] the field.",plow,field
63,13.0,AT - AT,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,"The bartender plowed the field, and the waiter did so too. What the waiter did was","The bartender plowed the field, and the waiter did so too. What the waiter did was [MASK] the field.",plow,field
64,13.0,T - SP violation,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,"The farmer plowed the field, and the pen did so too. What the pen did was","The farmer plowed the field, and the pen did so too. What the pen did was [MASK] the field.",plow,field
65,14.0,T - T,"The carpenter grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,"The carpenter grabbed the board, and so did the surfer. What the surfer did was","The carpenter grabbed the board, and so did the surfer. What the surfer did was [MASK] the board.",grab,board
66,14.0,T - AT,"The carpenter grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,"The carpenter grabbed the board, and so did the monkey. What the monkey did was","The carpenter grabbed the board, and so did the monkey. What the monkey did was [MASK] the board.",grab,board
67,14.0,AT - T,"The dancer grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,"The dancer grabbed the board, and so did the surfer. What the surfer did was","The dancer grabbed the board, and so did the surfer. What the surfer did was [MASK] the board.",grab,board
68,14.0,AT - AT,"The dancer grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,"The dancer grabbed the board, and so did the monkey. What the monkey did was","The dancer grabbed the board, and so did the monkey. What the monkey did was [MASK] the board.",grab,board
69,14.0,T - SP violation,"The carpenter grabbed the board, and so did the coffee.",Do-x/ Do-so anaphora,Agent,"The carpenter grabbed the board, and so did the coffee. What the coffee did was","The carpenter grabbed the board, and so did the coffee. What the coffee did was [MASK] the board.",grab,board
70,15.0,T - T,"The pyromaniac starts the fire, and the pilot the race. ",Gapping,Agent,"The pyromaniac starts the fire, and the pilot the race. What the pilot does is","The pyromaniac starts the fire, and the pilot the race. What the pilot does is [MASK] the fire.",start,fire
71,15.0,T - AT,"The pyromaniac starts the fire, and the singer the race.",Gapping,Agent,"The pyromaniac starts the fire, and the singer the race. What the singer does is","The pyromaniac starts the fire, and the singer the race. What the singer does is [MASK] the fire.",start,fire
72,15.0,AT - T,"The biker starts the fire, and the pilot the race.",Gapping,Agent,"The biker starts the fire, and the pilot the race. What the pilot does is","The biker starts the fire, and the pilot the race. What the pilot does is [MASK] the fire.",start,fire
73,15.0,AT - AT,"The biker starts the fire, and the singer the race.",Gapping,Agent,"The biker starts the fire, and the singer the race. What the singer does is","The biker starts the fire, and the singer the race. What the singer does is [MASK] the fire.",start,fire
74,15.0,T - SP violation,"The pyromaniac starts the fire, and the leaf the race.",Gapping,Agent,"The pyromaniac starts the fire, and the leaf the race. What the leaf does is","The pyromaniac starts the fire, and the leaf the race. What the leaf does is [MASK] the fire.",start,fire
75,16.0,T - T,"The truck has hit the car, and the policeman the demonstrator.",Gapping,Agent,"The truck has hit the car, and the policeman the demonstrator. What the policeman has done is","The truck has hit the car, and the policeman the demonstrator. What the policeman has done is [MASK] the car.",hit,car
76,16.0,T - AT,"The truck has hit the car, and the grandmother the demonstrator.",Gapping,Agent,"The truck has hit the car, and the grandmother the demonstrator. What the grandmother has done is","The truck has hit the car, and the grandmother the demonstrator. What the grandmother has done is [MASK] the car.",hit,car
77,16.0,AT - T,"The footballer has hit the car, and the policeman the demonstrator.",Gapping,Agent,"The footballer has hit the car, and the policeman the demonstrator. What the policeman has done is ","The footballer has hit the car, and the policeman the demonstrator. What the policeman has done is [MASK] the car.",hit,car
78,16.0,AT - AT,"The footballer has hit the car, and the grandmother the demonstrator.",Gapping,Agent,"The footballer has hit the car, and the grandmother the demonstrator. What the grandmother has done is","The footballer has hit the car, and the grandmother the demonstrator. What the grandmother has done is [MASK] the car.",hit,car
79,16.0,T - SP violation,"The truck has hit the car, and the air the demonstrator.",Gapping,Agent,"The truck has hit the car, and the air the demonstrator. What the air has done is","The truck has hit the car, and the air the demonstrator. What the air has done is [MASK] the car.",hit,car
80,17.0,T - T,"The biologist uses the microscope, and the teacher the blackboard.",Gapping,Agent,"The biologist uses the microscope, and the teacher the blackboard. What the teacher does is","The biologist uses the microscope, and the teacher the blackboard. What the teacher does is [MASK] the microscope.",use,microscope
81,17.0,T - AT,"The biologist uses the microscope, and the climber the blackboard.",Gapping,Agent,"The biologist uses the microscope, and the climber the blackboard. What the climber does is","The biologist uses the microscope, and the climber the blackboard. What the climber does is [MASK] the microscope.",use,microscope
82,17.0,AT - T,"The barber uses the microscope, and the teacher the blackboard.",Gapping,Agent,"The barber uses the microscope, and the teacher the blackboard. What the teacher does is","The barber uses the microscope, and the teacher the blackboard. What the teacher does is [MASK] the microscope.",use,microscope
83,17.0,AT - AT,"The barber uses the microscope, and the climber the blackboard.",Gapping,Agent,"The barber uses the microscope, and the climber the blackboard. What the climber does is","The barber uses the microscope, and the climber the blackboard. What the climber does is [MASK] the microscope.",use,microscope
84,17.0,T - SP violation,"The biologist uses the microscope, and the bird the blackboard.",Gapping,Agent,"The biologist uses the microscope, and the bird the blackboard. What the bird does is","The biologist uses the microscope, and the bird the blackboard. What the bird does is [MASK] the microscope.",use,microscope
85,18.0,T - T,"The policeman fights the crime, and the firefighter the fire.",Gapping,Agent,"The policeman fights the crime, and the firefighter the fire. What the firefighter does is","The policeman fights the crime, and the firefighter the fire. What the firefighter does is [MASK] the crime.",fight,crime
86,18.0,T - AT,"The policeman fights the crime, and the professor the fire.",Gapping,Agent,"The policeman fights the crime, and the professor the fire. What the professor does is","The policeman fights the crime, and the professor the fire. What the professor does is [MASK] the crime.",fight,crime
87,18.0,AT - T,"The pupil fights the crime, and the firefighter the fire.",Gapping,Agent,"The pupil fights the crime, and the firefighter the fire. What the firefighter does is","The pupil fights the crime, and the firefighter the fire. What the firefighter does is [MASK] the crime.",fight,crime
88,18.0,AT - AT,"The pupil fights the crime, and the professor the fire.",Gapping,Agent,"The pupil fights the crime, and the professor the fire. What the professor does is","The pupil fights the crime, and the professor the fire. What the professor does is [MASK] the crime.",fight,crime
89,18.0,T - SP violation,"The policeman fights the crime, and the glass the fire.",Gapping,Agent,"The policeman fights the crime, and the glass the fire. What the glass does is","The policeman fights the crime, and the glass the fire. What the glass does is [MASK] the crime.",fight,crime
90,19.0,T - T,"The bartender shook the drink, and the cheerleader the flag.",Gapping,Agent,"The bartender shook the drink, and the cheerleader the flag. What the cheerleader did was","The bartender shook the drink, and the cheerleader the flag. What the cheerleader did was [MASK] the drink.",shake,drink
91,19.0,T - AT,"The bartender shook the drink, and the waiter the flag.",Gapping,Agent,"The bartender shook the drink, and the waiter the flag. What the waiter did was","The bartender shook the drink, and the waiter the flag. What the waiter did was [MASK] the drink.",shake,drink
92,19.0,AT - T,"The athlete shook the drink, and the cheerleader the flag.",Gapping,Agent,"The athlete shook the drink, and the cheerleader the flag. What the cheerleader did was","The athlete shook the drink, and the cheerleader the flag. What the cheerleader did was [MASK] the drink.",shake,drink
93,19.0,AT - AT,"The athlete shook the drink, and the waiter the flag.",Gapping,Agent,"The athlete shook the drink, and the waiter the flag. What the waiter did was","The athlete shook the drink, and the waiter the flag. What the waiter did was [MASK] the drink.",shake,drink
94,19.0,T - SP violation,"The bartender shook the drink, and the stone the flag.",Gapping,Agent,"The bartender shook the drink, and the stone the flag. What the stone did was","The bartender shook the drink, and the stone the flag. What the stone did was [MASK] the drink.",shake,drink
95,20.0,T - T,"The hound fetches the bird, and the waiter the water.",Gapping,Agent,"The hound fetches the bird, and the waiter the water. What the waiter does is","The hound fetches the bird, and the waiter the water. What the waiter does is [MASK] the bird.",fetch,bird
96,20.0,T - AT,"The hound fetches the bird, and the baker the water.",Gapping,Agent,"The hound fetches the bird, and the baker the water. What the baker does is","The hound fetches the bird, and the baker the water. What the baker does is [MASK] the bird.",fetch,bird
97,20.0,AT - T,"The fish fetches the bird, and the waiter the water.",Gapping,Agent,"The fish fetches the bird, and the waiter the water. What thee waiter does is","The fish fetches the bird, and the waiter the water. What thee waiter does is [MASK] the bird.",fetch,bird
98,20.0,AT - AT,"The fish fetches the bird, and the baker the water.",Gapping,Agent,"The fish fetches the bird, and the baker the water. What the baker does is","The fish fetches the bird, and the baker the water. What the baker does is [MASK] the bird.",fetch,bird
99,20.0,T - SP violation,"The hound fetches the bird, and the car the water.",Gapping,Agent,"The hound fetches the bird, and the car the water. What the car does is","The hound fetches the bird, and the car the water. What the car does is [MASK] the bird.",fetch,bird
100,21.0,T - T,"The nurse will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,"The nurse will wash the infant, and the hairstylist will the hair. What the hairstylist will do is","The nurse will wash the infant, and the hairstylist will the hair. What the hairstylist will do is [MASK] the infant.",wash,infant
101,21.0,T - AT,"The nurse will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,"The nurse will wash the infant, and the banker will the hair. What the banker will do is","The nurse will wash the infant, and the banker will the hair. What the banker will do is [MASK] the infant.",wash,infant
102,21.0,AT - T,"The carpenter will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,"The carpenter will wash the infant, and the hairstylist will the hair. What the hairstylist will do is","The carpenter will wash the infant, and the hairstylist will the hair. What the hairstylist will do is [MASK] the infant.",wash,infant
103,21.0,AT - AT,"The carpenter will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,"The carpenter will wash the infant, and the banker will the hair. What the banker will do is","The carpenter will wash the infant, and the banker will the hair. What the banker will do is [MASK] the infant.",wash,infant
104,21.0,T - SP violation,"The nurse will wash the infant, and the jacket will the hair. ",Pseudo-gapping,Agent,"The nurse will wash the infant, and the jacket will the hair. What the jacket will do is","The nurse will wash the infant, and the jacket will the hair. What the jacket will do is [MASK] the infant.",wash,infant
105,22.0,T - T,"The student will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,"The student will hear the lecture, and the nanny will the baby. What the nanny will do is","The student will hear the lecture, and the nanny will the baby. What the nanny will do is [MASK] the lecture.",hear,lecture
106,22.0,T - AT,"The student will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,"The student will hear the lecture, and the driver will the baby. What the driver will do is","The student will hear the lecture, and the driver will the baby. What the driver will do is [MASK] the lecture.",hear,lecture
107,22.0,AT - T,"The soldier will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,"The soldier will hear the lecture, and the nanny will the baby. What the nanny will do is","The soldier will hear the lecture, and the nanny will the baby. What the nanny will do is [MASK] the lecture.",hear,lecture
108,22.0,AT - AT,"The soldier will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,"The soldier will hear the lecture, and the driver will the baby. What the driver will do is","The soldier will hear the lecture, and the driver will the baby. What the driver will do is [MASK] the lecture.",hear,lecture
109,22.0,T - SP violation,"The student will hear the lecture, and the moon will the baby.",Pseudo-gapping,Agent,"The student will hear the lecture, and the moon will the baby. What the moon will do is","The student will hear the lecture, and the moon will the baby. What the moon will do is [MASK] the lecture.",hear,lecture
110,23.0,T - T,"The parent will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,"The parent will give a present, and the teacher will the homework. What the teacher will do is","The parent will give a present, and the teacher will the homework. What the teacher will do is [MASK] a present.",give,present
111,23.0,T - AT,"The parent will give a present, and the president will the homework.",Pseudo-gapping,Agent,"The parent will give a present, and the president will the homework. What the president will do is","The parent will give a present, and the president will the homework. What the president will do is [MASK] a present.",give,present
112,23.0,AT - T,"The cook will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,"The cook will give a present, and the teacher will the homework. What the teacher will do is","The cook will give a present, and the teacher will the homework. What the teacher will do is [MASK] a present.",give,present
113,23.0,AT - AT,"The cook will give a present, and the president will the homework.",Pseudo-gapping,Agent,"The cook will give a present, and the president will the homework. What the president will do is","The cook will give a present, and the president will the homework. What the president will do is [MASK] a present.",give,present
114,23.0,T - SP violation,"The parent will give a present, and the bird will the homework.",Pseudo-gapping,Agent,"The parent will give a present, and the bird will the homework. What the bird will do is","The parent will give a present, and the bird will the homework. What the bird will do is [MASK] a present.",give,present
115,24.0,T - T,"The sergeant will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,"The sergeant will assign a mission, and the boss will a job. What the boss will do is","The sergeant will assign a mission, and the boss will a job. What the boss will do is [MASK] a mission.",assign,mission
116,24.0,T - AT,"The sergeant will assign a mission, and the father will a job.",Pseudo-gapping,Agent,"The sergeant will assign a mission, and the father will a job. What the father will do is","The sergeant will assign a mission, and the father will a job. What the father will do is [MASK] a mission.",assign,mission
117,24.0,AT - T,"The swimmer will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,"The swimmer will assign a mission, and the boss will a job. What the boss will do is","The swimmer will assign a mission, and the boss will a job. What the boss will do is [MASK] a mission.",assign,mission
