,ID,Condition,Sentence,Construction,Semantic_Role,Sentence_score_(GPT),Sentence_score_(BERT)
20,5,T – T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,-4.881792068481445,-3.049831418430104
21,5,T – AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,-4.959392070770264,-3.2704343795776367
22,5,AT – T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,-5.9520673751831055,-4.424618562062581
23,5,AT – AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,-5.920836448669434,-4.499377608299255
24,5,T – SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent,-5.156241893768311,-4.205541402101517
25,6,T – T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent,-4.483536243438721,-2.18012007077535
26,6,T – AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent,-4.433495044708252,-2.5989551544189453
27,6,AT – T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent,-4.757289886474609,-2.6861215035120645
28,6,AT – AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent,-4.868204116821289,-2.7823129494984946
29,6,T – SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent,-4.837448120117188,-2.885742783546448
30,7,T – T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent,-5.007748126983643,-4.108289095071646
31,7,T – AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,-5.435210227966309,-4.441570942218487
32,7,AT – T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent,-5.666306018829346,-5.188815190241887
33,7,AT – AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,-6.010581970214844,-5.564396968254676
34,7,T – SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent,-5.6142778396606445,-4.944252747755784
35,8,T – T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,-3.475001096725464,-0.8022911365215595
36,8,T – AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,-3.834261894226074,-1.0167680978775024
37,8,AT – T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,-3.5294315814971924,-1.1010733384352465
38,8,AT – AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,-3.742208480834961,-1.5667493343353271
39,8,T – SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent,-3.802419424057007,-1.281516710917155
40,9,T – T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,-3.444774389266968,-1.1603869029453822
41,9,T – AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent,-4.056174278259277,-1.543844427381243
42,9,AT – T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,-3.4448728561401367,-0.8015334606170654
43,9,AT – AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent,-4.108560085296631,-1.0610041618347168
44,9,T – SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent,-4.314496994018555,-1.9365711552756173
45,10,T – T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,-3.931094884872437,-1.915158033370972
46,10,T – AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,-4.183035850524902,-2.02019997437795
47,10,AT – T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,-4.206723690032959,-1.7397842407226562
48,10,AT – AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,-4.066657066345215,-1.6269083756666918
49,10,T – SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent,-4.196918964385986,-2.093675454457601
50,11,T – T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent,-4.733232021331787,-1.3208822863442558
51,11,T – AT,"The spectator bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,-4.301910877227783,-1.694305147443499
52,11,AT – T,"The housewife bought a ticket, and the passenger did so too.",Do-x/ Do-so anaphora,Agent,-4.252978324890137,-1.6553632872445243
53,11,AT – AT,"The housewife bought a ticket, and the cook did so too.",Do-x/ Do-so anaphora,Agent,-4.385371208190918,-1.79968684060233
54,11,T – SP violation,"The spectator bought a ticket, and the turtle did so too.",Do-x/ Do-so anaphora,Agent,-4.328052997589111,-1.9172408921378
55,12,T – T,"The terrorist released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,-3.881534576416016,-1.8066107886178155
56,12,T – AT,"The terrorist released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,-4.300136089324951,-2.017397574016026
57,12,AT – T,"The electrician released the hostage, and the soldiers did the same thing.",Do-x/ Do-so anaphora,Agent,-3.986157178878784,-1.4668434778849284
58,12,AT – AT,"The electrician released the hostage, and the artist did the same thing.",Do-x/ Do-so anaphora,Agent,-4.376075267791748,-1.9114553451538083
59,12,T – SP violation,"The terrorist released the hostage, and the jacket did the same thing.",Do-x/ Do-so anaphora,Agent,-4.591772079467773,-2.3088702814919606
60,13,T – T,"The farmer plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,-3.5119357109069824,-1.2360360463460287
61,13,T – AT,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,-4.000887393951416,-1.6360283533732096
62,13,AT – T,"The bartender plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,-4.638791561126709,-1.938503201802572
63,13,AT – AT,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,-4.642388343811035,-1.742827002207438
64,13,T – SP violation,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,-4.642388343811035,-1.742827002207438
65,14,T – T,"The carpenter grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,-3.8948121070861816,-2.068141533778264
66,14,T – AT,"The carpenter grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,-3.927393674850464,-2.193699916203817
67,14,AT – T,"The dancer grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,-4.177392482757568,-1.657770303579477
68,14,AT – AT,"The dancer grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,-4.37977933883667,-2.26376481850942
69,14,T – SP violation,"The carpenter grabbed the board, and so did the coffee.",Do-x/ Do-so anaphora,Agent,-4.26780366897583,-2.504629850387573
70,15,T – T,"The pyromaniac starts the fire, and the pilot the race. ",Gapping,Agent,-4.340278148651123,-2.7548650105794272
71,15,T – AT,"The pyromaniac starts the fire, and the singer the race.",Gapping,Agent,-4.253060817718506,-2.5693772315979
72,15,AT – T,"The biker starts the fire, and the pilot the race.",Gapping,Agent,-4.880643844604492,-3.654390115004319
73,15,AT – AT,"The biker starts the fire, and the singer the race.",Gapping,Agent,-4.999517440795898,-3.303029647240272
74,15,T – SP violation,"The pyromaniac starts the fire, and the leaf the race.",Gapping,Agent,-4.500829219818115,-3.567500178019206
75,16,T – T,"The truck has hit the car, and the policeman the demonstrator.",Gapping,Agent,-4.702887535095215,-1.99210205078125
76,16,T – AT,"The truck has hit the car, and the grandmother the demonstrator.",Gapping,Agent,-5.1614766120910645,-2.5373314221700034
77,16,AT – T,"The footballer has hit the car, and the policeman the demonstrator.",Gapping,Agent,-5.187561988830566,-2.185190232594808
78,16,AT – AT,"The footballer has hit the car, and the grandmother the demonstrator.",Gapping,Agent,-5.52069091796875,-2.958251158396403
79,16,T – SP violation,"The truck has hit the car, and the air the demonstrator.",Gapping,Agent,-5.335158824920654,-2.831029192606608
80,17,T – T,"The biologist uses the microscope, and the teacher the blackboard.",Gapping,Agent,-4.758994102478027,-2.2627988202231277
81,17,T – AT,"The biologist uses the microscope, and the climber the blackboard.",Gapping,Agent,-4.914877414703369,-2.89059206644694
82,17,AT – T,"The barber uses the microscope, and the teacher the blackboard.",Gapping,Agent,-4.431388854980469,-1.504963493347168
83,17,AT – AT,"The barber uses the microscope, and the climber the blackboard.",Gapping,Agent,-4.727329730987549,-2.3871654272079468
84,17,T – SP violation,"The biologist uses the microscope, and the bird the blackboard.",Gapping,Agent,-5.116892337799072,-2.556462969098772
85,18,T – T,"The policeman fights the crime, and the firefighter the fire.",Gapping,Agent,-4.809361457824707,-2.943055116213285
86,18,T – AT,"The policeman fights the crime, and the professor the fire.",Gapping,Agent,-5.083306789398193,-3.817541122436523
87,18,AT – T,"The pupil fights the crime, and the firefighter the fire.",Gapping,Agent,-5.26336145401001,-3.5647365129910984
88,18,AT – AT,"The pupil fights the crime, and the professor the fire.",Gapping,Agent,-5.278837203979492,-3.9769946336746216
89,18,T – SP violation,"The policeman fights the crime, and the glass the fire.",Gapping,Agent,-5.3766279220581055,-4.551207065582275
90,19,T – T,"The bartender shook the drink, and the cheerleader the flag.",Gapping,Agent,-5.092350006103516,-3.4513943378741923
91,19,T – AT,"The bartender shook the drink, and the waiter the flag.",Gapping,Agent,-4.92035436630249,-2.82546059290568
92,19,AT – T,"The athlete shook the drink, and the cheerleader the flag.",Gapping,Agent,-5.342936038970947,-3.9319880192096415
93,19,AT – AT,"The athlete shook the drink, and the waiter the flag.",Gapping,Agent,-5.558042526245117,-4.1234268347422285
94,19,T – SP violation,"The bartender shook the drink, and the stone the flag.",Gapping,Agent,-5.196141242980957,-3.6781181494394937
95,20,T – T,"The hound fetches the bird, and the waiter the water.",Gapping,Agent,-4.787043571472168,-2.663609095982143
96,20,T – AT,"The hound fetches the bird, and the baker the water.",Gapping,Agent,-4.674356937408447,-1.980636088053385
97,20,AT – T,"The fish fetches the bird, and the waiter the water.",Gapping,Agent,-5.053652286529541,-3.2072743635911207
98,20,AT – AT,"The fish fetches the bird, and the baker the water.",Gapping,Agent,-4.914490222930908,-2.434368780681065
99,20,T – SP violation,"The hound fetches the bird, and the car the water.",Gapping,Agent,-4.826780796051025,-2.735785858971732
100,21,T – T,"The nurse will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,-4.198437213897705,-2.3042014241218567
101,21,T – AT,"The nurse will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,-5.075159549713135,-3.383587905338832
102,21,AT – T,"The carpenter will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,-4.251952648162842,-2.945778250694275
103,21,AT – AT,"The carpenter will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,-5.026247978210449,-3.751100165503366
104,21,T – SP violation,"The nurse will wash the infant, and the jacket will the hair. ",Pseudo-gapping,Agent,-5.36276912689209,-3.812001773289272
105,22,T – T,"The student will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,-4.491038799285889,-1.9205356597900392
106,22,T – AT,"The student will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,-4.927486896514893,-2.7234507288251604
107,22,AT – T,"The soldier will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,-4.701484203338623,-1.960864543914795
108,22,AT – AT,"The soldier will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,-4.909279823303223,-2.766057116644723
109,22,T – SP violation,"The student will hear the lecture, and the moon will the baby.",Pseudo-gapping,Agent,-5.202282428741455,-3.629852907998221
110,23,T – T,"The parent will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,-4.699505805969238,-2.7909477097647533
111,23,T – AT,"The parent will give a present, and the president will the homework.",Pseudo-gapping,Agent,-5.294131278991699,-3.981216873441424
112,23,AT – T,"The cook will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,-5.034041881561279,-3.14350962638855
113,23,AT – AT,"The cook will give a present, and the president will the homework.",Pseudo-gapping,Agent,-5.392845630645752,-3.841912031173706
114,23,T – SP violation,"The parent will give a present, and the bird will the homework.",Pseudo-gapping,Agent,-5.195344924926758,-3.9313342571258554
115,24,T – T,"The sergeant will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,-4.880313396453857,-2.5560501984187534
116,24,T – AT,"The sergeant will assign a mission, and the father will a job.",Pseudo-gapping,Agent,-4.960080146789551,-3.328207731246948
117,24,AT – T,"The swimmer will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,-4.870265960693359,-3.414677143096924
118,24,AT – AT,"The swimmer will assign a mission, and the father will a job.",Pseudo-gapping,Agent,-4.952610492706299,-3.8598476818629672
119,24,T – SP violation,"The sergeant will assign a mission, and the duck will a job.",Pseudo-gapping,Agent,-5.165806770324707,-3.1762173175811768
120,25,T – T,"The child will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent,-4.611095428466797,-3.5715457280476888
121,25,T – AT,"The child will lend a pen, and the artist will the money.",Pseudo-gapping,Agent,-4.924663066864014,-3.70256621497018
122,25,AT – T,"The traveller will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent,-4.8249616622924805,-2.694642424583435
123,25,AT – AT,"The traveller will lend a pen, and the artist will the money.",Pseudo-gapping,Agent,-5.008638381958008,-3.0261186599731444
124,25,T – SP violation,"The child will lend a pen, and the computer will the money.",Pseudo-gapping,Agent,-5.104726791381836,-3.8899130821228023
125,26,T – T,"The journalist writes an article, and the professor a book.",Gapping,Patient,-4.143631935119629,-1.647472063700358
126,26,T – AT,"The journalist writes an article, and the professor a magazine.",Gapping,Patient,-4.719871044158936,-2.427903493245443
127,26,AT – T,"The journalist writes a song, and the professor a book.",Gapping,Patient,-4.532803058624268,-2.29271399974823
128,26,AT – AT,"The journalist writes a song, and the professor a magazine. ",Gapping,Patient,-5.34361457824707,-2.909624973932902
129,26,T – SP violation,"The journalist writes an article, and the professor an apple.",Gapping,Patient,-5.212647438049316,-2.7996882597605386
130,27,T – T,"The violinist will play the violin, and the musician a song.",Gapping,Patient,-3.767536640167236,-1.930878235743596
131,27,T – AT,"The violinist will play the violin, and the musician soccer.",Gapping,Patient,-4.245248317718506,-2.374122977256775
132,27,AT – T,"The violinist will play the trumpet, and the musician a song.",Gapping,Patient,-4.217348098754883,-2.4082669478196363
133,27,AT – AT,"The violinist will play the trumpet, and the musician soccer.",Gapping,Patient,-4.611973285675049,-2.66504434744517
134,27,T – SP violation,"The violinist will play the violin, and the musician the water.",Gapping,Patient,-4.040232658386231,-2.095673304337722
135,28,T – T,"The florist sells flowers, and the butcher meat.",Gapping,Patient,-3.871311902999878,-2.320268472035726
136,28,T – AT,"The florist sells flowers, and the butcher weapons.",Gapping,Patient,-4.155243396759033,-2.6616472403208413
137,28,AT – T,"The florist sells bikes, and the butcher meat.",Gapping,Patient,-5.156100273132324,-2.8166699012120566
138,28,AT – AT,"The florist sells bikes, and the butcher weapons.",Gapping,Patient,-5.230945110321045,-3.316250443458557
139,28,T – SP violation,"The florist sells flowers, and the butcher the air.",Gapping,Patient,-4.136190891265869,-3.371649962205153
140,29,T – T,"The knight holds the sword, and the champion the cup.",Gapping,Patient,-4.110290050506592,-2.140806714693705
141,29,T – AT,"The knight holds the sword, and the champion the guitar.",Gapping,Patient,-4.398294925689697,-2.4303861061731973
142,29,AT – T,"The knight holds the camera, and the champion the cup.",Gapping,Patient,-4.9638671875,-3.217023730278015
143,29,AT – AT,"The knight holds the camera, and the champion the guitar.",Gapping,Patient,-4.957174777984619,-3.05873433748881
144,29,T – SP violation,"The knight holds the sword, and the champion the rain.",Gapping,Patient,-4.651882648468018,-3.556977947552999
145,30,T – T,"The businessman is reading the report, and the customer the menu.",Gapping,Patient,-5.141022682189941,-3.1788160617534933
146,30,T – AT,"The businessman is reading the report, and the customer the music.",Gapping,Patient,-5.364753246307373,-3.405807751875657
147,30,AT – T,"The businessman is reading fables, and the customer the menu.",Gapping,Patient,-5.587285995483398,-3.464373001685509
148,30,AT – AT,"The businessman is reading fables, and the customer the music.",Gapping,Patient,-5.367941379547119,-3.1774888038635254
149,30,T – SP violation,"The businessman is reading the report, and the customer the cat.",Gapping,Patient,-5.396385669708252,-2.8403541491581845
150,31,T – T,"The astronomer was observing the stars, and the teacher her pupils.",Gapping,Patient,-4.506170272827148,-2.9216286952678976
151,31,T – AT,"The astronomer was observing the stars, and the teacher her sunglasses.",Gapping,Patient,-5.405896663665772,-3.963334853832538
152,31,AT – T,"The astronomer was observing the plants, and the teacher her pupils.",Gapping,Patient,-5.247631549835205,-3.2382433597858133
153,31,AT – AT,"The astronomer was observing the plants, and the teacher her sunglasses.",Gapping,Patient,-6.034897327423096,-4.380995200230525
154,31,T – SP violation,"The astronomer was observing the plants, and the teacher her problems.",Gapping,Patient,-5.773677349090576,-3.827048558455247
155,32,T – T,"The mechanic is renting a truck, and the manager a room.",Gapping,Patient,-4.82757043838501,-2.1563160760062083
156,32,T – AT,"The mechanic is renting a truck, and the manager a kayak.",Gapping,Patient,-4.669150352478027,-1.238172084093094
157,32,AT – T,"The mechanic is renting a boat, and the manager a room.",Gapping,Patient,-4.865585803985596,-2.137114558901106
158,32,AT – AT,"The mechanic is renting a boat, and the manager a kayak.",Gapping,Patient,-4.4925642013549805,-0.9819440841674804
159,32,T – SP violation,"The mechanic is renting a truck, and the manager the idea.",Gapping,Patient,-4.992071151733398,-2.563339573996408
160,33,T – T,"The scientist reported a finding, and the witness a crime.",Gapping,Patient,-5.1548686027526855,-3.926244815190633
161,33,T – AT,"The scientist reported a finding, and the witness a birth.",Gapping,Patient,-5.610427379608154,-4.876951376597087
162,33,AT – T,"The scientist reported a marriage, and the witness a crime.",Gapping,Patient,-5.304708480834961,-4.492281476656596
163,33,AT – AT,"The scientist reported a marriage, and the witness a birth.",Gapping,Patient,-5.029660224914551,-4.522006034851074
164,33,T – SP violation,"The scientist reported a finding, and the witness the water.",Gapping,Patient,-5.491532325744629,-5.169943332672119
165,34,T – T,"The soldier dug  a trench, and the dog a hole.",Gapping,Patient,-5.964269161224365,-2.2060492436091104
166,34,T – AT,"The soldier dug a trench, and the dog a grave.",Gapping,Patient,-4.302257537841797,-2.3768793741861978
167,34,AT – T,"The soldier dug a pool, and the dog a hole.",Gapping,Patient,-4.687941074371338,-2.3680975834528604
168,34,AT – AT,"The soldier dug a pool, and the dog a grave.",Gapping,Patient,-4.814791679382324,-2.5059765179951987
169,34,T – SP violation,"The soldier dug a trench, and the dog a person.",Gapping,Patient,-4.852632522583008,-2.604502479235331
170,35,T – T,"The waiter has delivered a drink, and the postman a mail.",Gapping,Patient,-4.420994281768799,-2.6875694479261125
171,35,T – AT,"The waiter has delivered a drink, and the postman a punch.",Gapping,Patient,-4.710104465484619,-3.024113552910941
172,35,AT – T,"The waiter has delivered a speech, and the postman a mail.",Gapping,Patient,-4.678657531738281,-3.4027883325304304
173,35,AT – AT,"The waiter has delivered a speech, and the postman a punch.",Gapping,Patient,-4.847481727600098,-3.5530330453600203
174,35,T – SP violation,"The waiter has delivered a drink, and the postman the sun. ",Gapping,Patient,-5.039622783660889,-3.890495164053781
175,36,T – T,"The cook will mix ingredients, and the chemist will the substances.",Pseudo-gapping,Patient,-5.0684895515441895,-3.2938869182880106
176,36,T – AT,"The cook will mix ingredients, and the chemist will the music.",Pseudo-gapping,Patient,-5.236281394958496,-3.179381333864652
177,36,AT – T,"The cook will mix the paint, and the chemist will the substances.",Pseudo-gapping,Patient,-5.219449043273926,-3.5134351594107494
178,36,AT – AT,"The cook will mix the paint, and the chemist will the music.",Pseudo-gapping,Patient,-5.22185754776001,-3.398435320172991
179,36,T – SP violation,"The cook will mix ingredients, and the chemist will the dog.",Pseudo-gapping,Patient,-5.406130313873291,-2.5379622899569
180,37,T – T,"The child will drink the coke, and the student will the coffee.",Pseudo-gapping,Patient,-4.350747108459473,-2.4993006706237795
181,37,T – AT,"The child will drink the coke, and the student will the gasoline.",Pseudo-gapping,Patient,-4.533371448516846,-2.6362528800964355
182,37,AT – T,"The child will drink the beer, and the student will the coffee.",Pseudo-gapping,Patient,-4.253474235534668,-2.720754998070853
183,37,AT – AT,"The child will drink the beer, and the student will the gasoline. ",Pseudo-gapping,Patient,-4.6811699867248535,-3.0580216475895474
184,37,T – SP violation,"The child will drink the coke, and the student will the music.",Pseudo-gapping,Patient,-4.405657768249512,-2.451916122436524
185,38,T – T,"The child will visit his grandmother, and the tourist will the museum.",Pseudo-gapping,Patient,-4.755860328674316,-2.70173066002982
186,38,T – AT,"The child will visit his grandmother, and the tourist will the patient.",Pseudo-gapping,Patient,-4.903964996337891,-3.52330596106393
187,38,AT – T,"The child will visit the president, and the tourist will the museum.",Pseudo-gapping,Patient,-4.9820051193237305,-3.628193037850516
188,38,AT – AT,"The child will visit the president, and the tourist will the patient.",Pseudo-gapping,Patient,-5.058897972106934,-3.878517866134644
189,38,T – SP violation,"The child will visit the president, and the tourist will the pen.",Pseudo-gapping,Patient,-5.2180023193359375,-4.114794935498919
190,39,T – T,"The child will tell a lie, and the grandfather will a story.",Pseudo-gapping,Patient,-4.53148078918457,-2.523159537996565
191,39,T – AT,"The child will tell a lie, and the grandfather will the strategy.",Pseudo-gapping,Patient,-4.920608997344971,-3.031559637614659
192,39,AT – T,"The child will tell the verdict, and the grandfather will a story.",Pseudo-gapping,Patient,-5.124862194061279,-3.167101996285574
193,39,AT – AT,"The child will tell the verdict, and the grandfather will the strategy.",Pseudo-gapping,Patient,-5.134457111358643,-3.745283842086792
194,39,T – SP violation,"The child will tell a lie, and the grandfather will a cake. ",Pseudo-gapping,Patient,-4.9651970863342285,-3.008728231702532
195,40,T – T,"The refugee will find shelter, and the animal will the food.",Pseudo-gapping,Patient,-4.765095233917236,-3.5137459681584287
196,40,T – AT,"The refugee will find shelter, and the animal will the map.",Pseudo-gapping,Patient,-5.26789140701294,-3.529402549450214
197,40,AT – T,"The refugee will find the doll, and the animal will the food.",Pseudo-gapping,Patient,-5.246647357940674,-3.995765107018607
198,40,AT – AT,"The refugee will find the doll, and the animal will the map.",Pseudo-gapping,Patient,-5.390080451965332,-3.563932044165475
199,40,T – SP violation,"The refugee will find shelter, and the animal will the sadness.",Pseudo-gapping,Patient,-5.347496509552002,-3.974911432999831
200,41,T – T,"The waiter will open the bottle, and the child will the present.",Pseudo-gapping,Patient,-4.379007339477539,-3.6316737788064137
201,41,T – AT,"The waiter will open the bottle, and the child will the congress.",Pseudo-gapping,Patient,-5.0582427978515625,-3.5800653185163225
202,41,AT – T,"The waiter will open the sarcophagus, and the child will the present.",Pseudo-gapping,Patient,-4.018643856048584,-2.6929792298210997
203,41,AT – AT,"The waiter will open the sarcophagus, and the child will the congress.",Pseudo-gapping,Patient,-4.603142738342285,-2.828765471776326
204,41,T – SP violation,"The waiter will open the bottle, and the child will the sun. ",Pseudo-gapping,Patient,-4.779856204986572,-3.2628513063703264
205,42,T – T,"The librarian will stack the books, and the lumberjack will the wood.",Pseudo-gapping,Patient,-3.895038366317749,-2.3045129140218097
206,42,T – AT,"The librarian will stack the books, and the lumberjack will the suitcase.",Pseudo-gapping,Patient,-4.457602500915527,-2.300837993621826
207,42,AT – T,"The librarian will stack the supplies, and the lumberjack will the wood.",Pseudo-gapping,Patient,-4.344728469848633,-3.337579536437988
208,42,AT – AT,"The librarian will stack the supplies, and the lumberjack will the suitcase.",Pseudo-gapping,Patient,-4.904386043548584,-3.144579029083252
209,42,T – SP violation,"The librarian will stack the books, and the lumberjack will the river.",Pseudo-gapping,Patient,-4.365491390228272,-2.6068580309549967
210,43,T – T,"The tailor will sew the dress, and the doctor will the wound",Pseudo-gapping,Patient,-4.5186767578125,-2.420523770650228
211,43,T – AT,"The tailor will sew the dress, and the doctor will the shoe.",Pseudo-gapping,Patient,-4.233103275299072,-1.4563904106616974
212,43,AT – T,"The tailor will sew the parachute, and the doctor will the wound. ",Pseudo-gapping,Patient,-4.915907382965088,-2.459867477416992
213,43,AT – AT,"The tailor will sew the parachute, and the doctor will the shoe",Pseudo-gapping,Patient,-5.187357425689697,-2.5792200406392416
214,43,T – SP violation,"The tailor will sew the dress, and the doctor will the banana.",Pseudo-gapping,Patient,-4.781074047088623,-1.8005337715148926
215,44,T – T,"The fighter will kick the opponent, and the footballer will the ball.",Pseudo-gapping,Patient,-4.279716968536377,-2.569570916039603
216,44,T – AT,"The fighter will kick the opponent, and the footballer will the vase.",Pseudo-gapping,Patient,-4.680511474609375,-2.977315051215036
217,44,AT – T,"The fighter will kick the television, and the footballer will the ball.",Pseudo-gapping,Patient,-4.686943054199219,-3.355800594602312
218,44,AT – AT,"The fighter will kick the television, and the footballer will the vase.",Pseudo-gapping,Patient,-5.011662483215332,-3.7316998754228874
219,44,T – SP violation,"The fighter will kick the opponent, and the footballer will the water.",Pseudo-gapping,Patient,-4.886326313018799,-3.454515593392508
220,45,T – T,"The climber will climb the rock, and the librarian will the ladder.",Pseudo-gapping,Patient,-4.127223491668701,-2.2691864649454754
221,45,T – AT,"The climber will climb the rock, and the librarian will the tree.",Pseudo-gapping,Patient,-4.153506278991699,-2.163574155171712
222,45,AT – T,"The climber will climb the staircase, and the librarian will the ladder.",Pseudo-gapping,Patient,-4.104077339172363,-2.4207324345906573
