,ID,Condition,Sentence,Construction,Semantic_Role,Prompt_GPT,Prompt_BERT,Verb_to_retrieve,DObj_to_retrieve,Generated_text_GPTsampling_1,Generated_text_GPTsampling_2,Generated_text_GPTsampling_3,Match_verb_GPTsampling,Match_dObj_GPTsampling,Generated_text_GPT_noSampling,Match_verb_GPT_noSampling,Match_dObj_noSampling,Generated_token_BERT,Match_verb_BERT
13,3.0,AT - AT,"The doctor cuts the hair, and the butcher does too.",VP-ellipsis,Agent,"The doctor cuts the hair, and the butcher does too. What the butcher does is","The doctor cuts the hair, and the butcher does too. What the butcher does is [MASK] hair.",cut,hair,"The doctor cuts the hair, and the butcher does too. What the butcher does is to cut the hair","The doctor cuts the hair, and the butcher does too. What the butcher does is cut off the head","The doctor cuts the hair, and the butcher does too. What the butcher does is cut off the hair",Yes,Yes,"The doctor cuts the hair, and the butcher does too. What the butcher does is to cut the hair,",Yes,Yes,cut,Yes
14,3.0,T - SP violation,"The barber cuts the hair, and happiness does too.",VP-ellipsis,Agent,"The barber cuts the hair, and happiness does too. What the happiness does is","The barber cuts the hair, and happiness does too. What the happiness does is [MASK] hair.",cut,hair,"The barber cuts the hair, and happiness does too. What the happiness does is that it makes him","The barber cuts the hair, and happiness does too. What the happiness does is make him feel better","The barber cuts the hair, and happiness does too. What the happiness does is make him feel better",No,No,"The barber cuts the hair, and happiness does too. What the happiness does is to make the hair grow",No,Yes,the,No
15,4.0,T - T,"The butcher used the knife, and the soldier did too.",VP-ellipsis,Agent,"The butcher used the knife, and the soldier did too. What the soldier did was","The butcher used the knife, and the soldier did too. What the soldier did was [MASK] the knife.",use,knife,"The butcher used the knife, and the soldier did too. What the soldier did was not a crime.","The butcher used the knife, and the soldier did too. What the soldier did was a crime, but","The butcher used the knife, and the soldier did too. What the soldier did was not a crime.",No,No,"The butcher used the knife, and the soldier did too. What the soldier did was to cut the meat into",No,No,use,Yes
16,4.0,T - AT,"The butcher used the knife, and the teacher did too.",VP-ellipsis,Agent,"The butcher used the knife, and the teacher did too. What the teacher did was","The butcher used the knife, and the teacher did too. What the teacher did was [MASK] the knife.",use,knife,"The butcher used the knife, and the teacher did too. What the teacher did was not only wrong,","The butcher used the knife, and the teacher did too. What the teacher did was to cut the knife","The butcher used the knife, and the teacher did too. What the teacher did was not a crime.",No,Yes,"The butcher used the knife, and the teacher did too. What the teacher did was to cut the meat into",No,No,use,Yes
17,4.0,AT - T,"The bricklayer used the knife, and the soldier did too.",VP-ellipsis,Agent,"The bricklayer used the knife, and the soldier did too. What the soldier did was","The bricklayer used the knife, and the soldier did too. What the soldier did was [MASK] the knife.",use,knife,"The bricklayer used the knife, and the soldier did too. What the soldier did was not to kill him","The bricklayer used the knife, and the soldier did too. What the soldier did was a crime, but","The bricklayer used the knife, and the soldier did too. What the soldier did was not a crime.",No,No,"The bricklayer used the knife, and the soldier did too. What the soldier did was to cut the bricklayer",No,No,use,Yes
18,4.0,AT - AT,"The bricklayer used the knife, and the teacher did too.",VP-ellipsis,Agent,"The bricklayer used the knife, and the teacher did too. What the teacher did was","The bricklayer used the knife, and the teacher did too. What the teacher did was [MASK] the knife.",use,knife,"The bricklayer used the knife, and the teacher did too. What the teacher did was not to kill him","The bricklayer used the knife, and the teacher did too. What the teacher did was to cut the brick","The bricklayer used the knife, and the teacher did too. What the teacher did was not to kill the",No,No,"The bricklayer used the knife, and the teacher did too. What the teacher did was to cut the bricklayer",No,No,use,Yes
19,4.0,T - SP violation,"The butcher used the knife, and the dish did too.",VP-ellipsis,Agent,"The butcher used the knife, and the dish did too. What the dish did was","The butcher used the knife, and the dish did too. What the dish did was [MASK] the knife.",use,knife,"The butcher used the knife, and the dish did too. What the dish did was to be eaten.","The butcher used the knife, and the dish did too. What the dish did was to make the knife","The butcher used the knife, and the dish did too. What the dish did was it took the knife",No,Yes,"The butcher used the knife, and the dish did too. What the dish did was to make the butcher's",No,No,use,Yes
20,5.0,T - T,"The snowboarder flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is","The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is [MASK] the board.",flip,board,"The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is jump.

","The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is get off the board","The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is stop and look.",No,Yes,"The snowboarder flips the board, but the surfer doesn't. What the surfer doesn't do is stop and look at the",No,No,flip,Yes
21,5.0,T - AT,"The snowboarder flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is","The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is [MASK] the board.",flip,board,"The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is tell the snowboard","The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is give him a haircut","The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is give up and let",No,No,"The snowboarder flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is take the board and flip",Yes,Yes,flip,Yes
22,5.0,AT - T,"The hydraulic flips the board, but the surfer doesn’t.",VP-ellipsis,Agent,"The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is","The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is [MASK] the board.",flip,board,"The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is jump off the board","The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is get out of the","The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is get up and walk",No,Yes,"The hydraulic flips the board, but the surfer doesn't. What the surfer doesn't do is get up and walk away",No,No,flip,Yes
23,5.0,AT - AT,"The hydraulic flips the board, but the hairstylist doesn’t.",VP-ellipsis,Agent,"The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is","The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is [MASK] the board.",flip,board,"The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is put the board in","The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is turn it upside down","The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is take the board and",No,Yes,"The hydraulic flips the board, but the hairstylist doesn't. What the hairstylist doesn't do is take the board and flip",Yes,Yes,flip,Yes
24,5.0,T - SP violation,"The snowboarder flips the board, but the phone doesn’t.",VP-ellipsis,Agent,"The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is","The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is [MASK] the board.",flip,board,"The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is send a text message","The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is send an SOS to","The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is call 911. The",No,No,"The snowboarder flips the board, but the phone doesn't. What the phone doesn't do is send a text message to",No,No,flip,Yes
25,6.0,T - T,"The comedian entertained the audience, and the speaker did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the speaker did too. What the speaker did was","The comedian entertained the audience, and the speaker did too. What the speaker did was [MASK] the audience.",entertain,audience,"The comedian entertained the audience, and the speaker did too. What the speaker did was to take the audience","The comedian entertained the audience, and the speaker did too. What the speaker did was a great example of","The comedian entertained the audience, and the speaker did too. What the speaker did was a bit of a",No,Yes,"The comedian entertained the audience, and the speaker did too. What the speaker did was to take the audience's",No,Yes,entertain,Yes
26,6.0,T - AT,"The comedian entertained the audience, and the student did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the student did too. What the student did was","The comedian entertained the audience, and the student did too. What the student did was [MASK] the audience.",entertain,audience,"The comedian entertained the audience, and the student did too. What the student did was not illegal, but","The comedian entertained the audience, and the student did too. What the student did was a little bit different","The comedian entertained the audience, and the student did too. What the student did was not only funny,",No,No,"The comedian entertained the audience, and the student did too. What the student did was to take a picture of",No,No,entertain,Yes
27,6.0,AT - T,"The doctor entertained the audience, and the speaker did too.",VP-ellipsis,Agent,"The doctor entertained the audience, and the speaker did too. What the speaker did was","The doctor entertained the audience, and the speaker did too. What the speaker did was [MASK] the audience.",entertain,audience,"The doctor entertained the audience, and the speaker did too. What the speaker did was to make the audience","The doctor entertained the audience, and the speaker did too. What the speaker did was to give an account","The doctor entertained the audience, and the speaker did too. What the speaker did was to give the audience",No,Yes,"The doctor entertained the audience, and the speaker did too. What the speaker did was to tell the audience that",No,Yes,entertain,Yes
28,6.0,AT - AT,"The doctor entertained the audience, and the student did too.",VP-ellipsis,Agent,"The doctor entertained the audience, and the student did too. What the student did was","The doctor entertained the audience, and the student did too. What the student did was [MASK] the audience.",entertain,audience,"The doctor entertained the audience, and the student did too. What the student did was to take the doctor","The doctor entertained the audience, and the student did too. What the student did was to ask the doctor","The doctor entertained the audience, and the student did too. What the student did was to take the first",No,No,"The doctor entertained the audience, and the student did too. What the student did was to take a piece of",No,No,entertain,Yes
29,6.0,T - SP violation,"The comedian entertained the audience, and the bottle did too.",VP-ellipsis,Agent,"The comedian entertained the audience, and the bottle did too. What the bottle did was","The comedian entertained the audience, and the bottle did too. What the bottle did was [MASK] the audience.",entertain,audience,"The comedian entertained the audience, and the bottle did too. What the bottle did was make the audience laugh","The comedian entertained the audience, and the bottle did too. What the bottle did was make him feel like","The comedian entertained the audience, and the bottle did too. What the bottle did was give a little bit",No,Yes,"The comedian entertained the audience, and the bottle did too. What the bottle did was make the audience laugh.",No,Yes,entertain,Yes
30,7.0,T - T,"The sculptor carved the stone, but the artist didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the artist didn't. What the artist didn't do was","The sculptor carved the stone, but the artist didn't. What the artist didn't do was [MASK] the stone.",carve,stone,"The sculptor carved the stone, but the artist didn't. What the artist didn't do was put the carving in","The sculptor carved the stone, but the artist didn't. What the artist didn't do was to make the stone","The sculptor carved the stone, but the artist didn't. What the artist didn't do was carve it. The",Yes,Yes,"The sculptor carved the stone, but the artist didn't. What the artist didn't do was to make the stone into",No,Yes,paint,No
31,7.0,T - AT,"The sculptor carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was","The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was [MASK] the stone.",carve,stone,"The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was carve the stone.","The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was cut it into the","The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was cut it into pieces",Yes,Yes,"The sculptor carved the stone, but the butcher didn't. What the butcher didn't do was carve the stone.
",Yes,Yes,cut,No
32,7.0,AT - T,"The therapist carved the stone, but the artist didn’t.",VP-ellipsis,Agent,"The therapist carved the stone, but the artist didn't. What the artist didn't do was","The therapist carved the stone, but the artist didn't. What the artist didn't do was [MASK] the stone.",carve,stone,"The therapist carved the stone, but the artist didn't. What the artist didn't do was carve the stone.","The therapist carved the stone, but the artist didn't. What the artist didn't do was make it look like","The therapist carved the stone, but the artist didn't. What the artist didn't do was carve a name.",Yes,Yes,"The therapist carved the stone, but the artist didn't. What the artist didn't do was carve the stone.
",Yes,Yes,paint,No
33,7.0,AT - AT,"The therapist carved the stone, but the butcher didn’t.",VP-ellipsis,Agent,"The therapist carved the stone, but the butcher didn't. What the butcher didn't do was","The therapist carved the stone, but the butcher didn't. What the butcher didn't do was [MASK] the stone.",carve,stone,"The therapist carved the stone, but the butcher didn't. What the butcher didn't do was carve the stone.","The therapist carved the stone, but the butcher didn't. What the butcher didn't do was cut it into the","The therapist carved the stone, but the butcher didn't. What the butcher didn't do was cut it into pieces",Yes,Yes,"The therapist carved the stone, but the butcher didn't. What the butcher didn't do was carve the stone.
",Yes,Yes,cut,No
34,7.0,T - SP violation,"The sculptor carved the stone, but the sound didn’t.",VP-ellipsis,Agent,"The sculptor carved the stone, but the sound didn't. What the sound didn't do was","The sculptor carved the stone, but the sound didn't. What the sound didn't do was [MASK] the stone.",carve,stone,"The sculptor carved the stone, but the sound didn't. What the sound didn't do was make the sound of","The sculptor carved the stone, but the sound didn't. What the sound didn't do was cause the stone to","The sculptor carved the stone, but the sound didn't. What the sound didn't do was make it go away",No,Yes,"The sculptor carved the stone, but the sound didn't. What the sound didn't do was make the stone move.",No,Yes,shake,No
35,8.0,T - T,"The soldier wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the biker. What the biker did was","The soldier wore a helmet, and so did the biker. What the biker did was [MASK] a helmet.",wear,helmet,"The soldier wore a helmet, and so did the biker. What the biker did was he took the helmet","The soldier wore a helmet, and so did the biker. What the biker did was to take the helmet","The soldier wore a helmet, and so did the biker. What the biker did was to take the helmet",No,Yes,"The soldier wore a helmet, and so did the biker. What the biker did was to take a piece of",No,No,wear,Yes
36,8.0,T - AT,"The soldier wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the professor. What the professor did was","The soldier wore a helmet, and so did the professor. What the professor did was [MASK] a helmet.",wear,helmet,"The soldier wore a helmet, and so did the professor. What the professor did was to take the helmet","The soldier wore a helmet, and so did the professor. What the professor did was to take the helmet","The soldier wore a helmet, and so did the professor. What the professor did was to take the soldier",No,Yes,"The soldier wore a helmet, and so did the professor. What the professor did was to take a piece of",No,No,wear,Yes
37,8.0,AT - T,"The swimmer wore a helmet, and so did the biker.",Do-x/ Do-so anaphora,Agent,"The swimmer wore a helmet, and so did the biker. What the biker did was","The swimmer wore a helmet, and so did the biker. What the biker did was [MASK] a helmet.",wear,helmet,"The swimmer wore a helmet, and so did the biker. What the biker did was not illegal, but","The swimmer wore a helmet, and so did the biker. What the biker did was a little different.","The swimmer wore a helmet, and so did the biker. What the biker did was not illegal, and",No,No,"The swimmer wore a helmet, and so did the biker. What the biker did was to ride up to the",No,No,wear,Yes
38,8.0,AT - AT,"The swimmer wore a helmet, and so did the professor.",Do-x/ Do-so anaphora,Agent,"The swimmer wore a helmet, and so did the professor. What the professor did was","The swimmer wore a helmet, and so did the professor. What the professor did was [MASK] a helmet.",wear,helmet,"The swimmer wore a helmet, and so did the professor. What the professor did was not illegal, but","The swimmer wore a helmet, and so did the professor. What the professor did was to take the helmet","The swimmer wore a helmet, and so did the professor. What the professor did was not illegal. The",No,Yes,"The swimmer wore a helmet, and so did the professor. What the professor did was to put his head in",No,No,wear,Yes
39,8.0,T - SP violation,"The soldier wore a helmet, and so did the tree.",Do-x/ Do-so anaphora,Agent,"The soldier wore a helmet, and so did the tree. What the tree did was","The soldier wore a helmet, and so did the tree. What the tree did was [MASK] a helmet.",wear,helmet,"The soldier wore a helmet, and so did the tree. What the tree did was to be the most","The soldier wore a helmet, and so did the tree. What the tree did was to make the soldier","The soldier wore a helmet, and so did the tree. What the tree did was to make the soldier",No,No,"The soldier wore a helmet, and so did the tree. What the tree did was to make the soldier's",No,No,wear,Yes
40,9.0,T - T,"The teacher helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the mother did the same thing. What the mother did was","The teacher helped the child, and the mother did the same thing. What the mother did was [MASK] the child.",help,child,"The teacher helped the child, and the mother did the same thing. What the mother did was not only wrong,","The teacher helped the child, and the mother did the same thing. What the mother did was not only wrong,","The teacher helped the child, and the mother did the same thing. What the mother did was not wrong. The",No,No,"The teacher helped the child, and the mother did the same thing. What the mother did was not only wrong, but",No,No,help,Yes
41,9.0,T - AT,"The teacher helped the child, and the cook did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the cook did the same thing. What the cook did was","The teacher helped the child, and the cook did the same thing. What the cook did was [MASK] the child.",help,child,"The teacher helped the child, and the cook did the same thing. What the cook did was not illegal, but","The teacher helped the child, and the cook did the same thing. What the cook did was a little different,","The teacher helped the child, and the cook did the same thing. What the cook did was not illegal, but",No,No,"The teacher helped the child, and the cook did the same thing. What the cook did was to take the child's",No,Yes,help,Yes
42,9.0,AT - T,"The florist helped the child, and the mother did the same thing.",Do-x/ Do-so anaphora,Agent,"The florist helped the child, and the mother did the same thing. What the mother did was","The florist helped the child, and the mother did the same thing. What the mother did was [MASK] the child.",help,child,"The florist helped the child, and the mother did the same thing. What the mother did was wrong.

","The florist helped the child, and the mother did the same thing. What the mother did was not illegal, but","The florist helped the child, and the mother did the same thing. What the mother did was not wrong. The",No,No,"The florist helped the child, and the mother did the same thing. What the mother did was wrong, but the fl",No,No,help,Yes
43,9.0,AT - AT,"The florist helped the child, and the cook did the same thing. ",Do-x/ Do-so anaphora,Agent,"The florist helped the child, and the cook did the same thing. What the cook did was","The florist helped the child, and the cook did the same thing. What the cook did was [MASK] the child.",help,child,"The florist helped the child, and the cook did the same thing. What the cook did was not illegal, but","The florist helped the child, and the cook did the same thing. What the cook did was a little different,","The florist helped the child, and the cook did the same thing. What the cook did was not illegal, but",No,No,"The florist helped the child, and the cook did the same thing. What the cook did was not illegal, but it",No,No,help,Yes
44,9.0,T - SP violation,"The teacher helped the child, and the boat did the same thing.",Do-x/ Do-so anaphora,Agent,"The teacher helped the child, and the boat did the same thing. What the boat did was","The teacher helped the child, and the boat did the same thing. What the boat did was [MASK] the child.",help,child,"The teacher helped the child, and the boat did the same thing. What the boat did was to take the child","The teacher helped the child, and the boat did the same thing. What the boat did was to help the child","The teacher helped the child, and the boat did the same thing. What the boat did was it took the child",Yes,Yes,"The teacher helped the child, and the boat did the same thing. What the boat did was to take the child to",No,Yes,help,Yes
45,10.0,T - T,"The programmer uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the student. What the student does is","The programmer uses the computer, and so does the student. What the student does is [MASK]",use,computer,"The programmer uses the computer, and so does the student. What the student does is not the programmer's","The programmer uses the computer, and so does the student. What the student does is to use the computer","The programmer uses the computer, and so does the student. What the student does is the same as what",Yes,Yes,"The programmer uses the computer, and so does the student. What the student does is to use the computer to",Yes,Yes,.,No
46,10.0,T - AT,"The programmer uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the farmer. What the farmer does is","The programmer uses the computer, and so does the farmer. What the farmer does is [MASK] the computer.",use,computer,"The programmer uses the computer, and so does the farmer. What the farmer does is to use the computer","The programmer uses the computer, and so does the farmer. What the farmer does is to use the computer","The programmer uses the computer, and so does the farmer. What the farmer does is use the computer.",Yes,Yes,"The programmer uses the computer, and so does the farmer. What the farmer does is to use the computer to",Yes,Yes,use,Yes
47,10.0,AT - T,"The lumberjack uses the computer, and so does the student.",Do-x/ Do-so anaphora,Agent,"The lumberjack uses the computer, and so does the student. What the student does is","The lumberjack uses the computer, and so does the student. What the student does is [MASK] the computer.",use,computer,"The lumberjack uses the computer, and so does the student. What the student does is to use the computer","The lumberjack uses the computer, and so does the student. What the student does is to write a program","The lumberjack uses the computer, and so does the student. What the student does is to use the computer",Yes,Yes,"The lumberjack uses the computer, and so does the student. What the student does is to use the computer to",Yes,Yes,use,Yes
48,10.0,AT - AT,"The lumberjack uses the computer, and so does the farmer.",Do-x/ Do-so anaphora,Agent,"The lumberjack uses the computer, and so does the farmer. What the farmer does is","The lumberjack uses the computer, and so does the farmer. What the farmer does is [MASK] the computer.",use,computer,"The lumberjack uses the computer, and so does the farmer. What the farmer does is he goes out and","The lumberjack uses the computer, and so does the farmer. What the farmer does is he uses the computer","The lumberjack uses the computer, and so does the farmer. What the farmer does is he uses the computer",Yes,Yes,"The lumberjack uses the computer, and so does the farmer. What the farmer does is to use the computer to",Yes,Yes,use,Yes
49,10.0,T - SP violation,"The programmer uses the computer, and so does the chair.",Do-x/ Do-so anaphora,Agent,"The programmer uses the computer, and so does the chair. What the chair does is","The programmer uses the computer, and so does the chair. What the chair does is [MASK] the computer.",use,computer,"The programmer uses the computer, and so does the chair. What the chair does is to be the computer","The programmer uses the computer, and so does the chair. What the chair does is it's an extension","The programmer uses the computer, and so does the chair. What the chair does is it's a machine",No,Yes,"The programmer uses the computer, and so does the chair. What the chair does is to make the programmer feel",No,No,use,Yes
50,11.0,T - T,"The spectator bought a ticket, and  the passenger did so too.",Do-x/ Do-so anaphora,Agent,"The spectator bought a ticket, and the passenger did so too. What the passeenger did was","The spectator bought a ticket, and the passenger did so too. What the passeenger did was [MASK] a ticket.",buy,ticket,"The spectator bought a ticket, and the passenger did so too. What the passeenger did was to buy a ticket","The spectator bought a ticket, and the passenger did so too. What the passeenger did was to buy a ticket","The spectator bought a ticket, and the passenger did so too. What the passeenger did was to buy the ticket",Yes,Yes,"The spectator bought a ticket, and the passenger did so too. What the passeenger did was to buy a ticket,",Yes,Yes,buy,Yes
