,ID,Condition,Sentence,Construction,Semantic_Role,Standard_Filler_position_GPT,Standard_Filler_position_BERT,Elliptical_Filler_position_GPT,Elliptical_Filler_position_BERT,Standard_filler,Elliptical_filler,Score1_BERT,Score2_BERT,Score1_GPT,Score2_GPT
59,12,T – SP violation,"The terrorist released the hostage, and the jacket did the same thing.",Do-x/ Do-so anaphora,Agent,0,1,0,8,terrorist,jacket,-7.369428634643555,-11.829996109008789,,
60,13,T – T,"The farmer plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,0,1,0,10,farmer,man,-4.487364768981934,-3.96425724029541,,
61,13,T – AT,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,0,1,0,10,farmer,waiter,-5.78608512878418,-8.610554695129395,,
62,13,AT – T,"The bartender plowed the field, and the man did so too.",Do-x/ Do-so anaphora,Agent,0,1,0,10,bartender,man,-9.696707725524902,-4.262784004211426,,
63,13,AT – AT,"The bartender plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,0,1,0,10,bartender,waiter,-6.500466346740723,-4.565025329589844,,
64,13,T – SP violation,"The farmer plowed the field, and the waiter did so too.",Do-x/ Do-so anaphora,Agent,0,1,0,10,farmer,waiter,-5.78608512878418,-8.610554695129395,,
65,14,T – T,"The carpenter grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,0,1,0,11,carpenter,##er,-8.883256912231445,-0.7871875762939453,,
66,14,T – AT,"The carpenter grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,0,1,0,10,carpenter,monkey,-8.725049018859863,-6.346141815185547,,
67,14,AT – T,"The dancer grabbed the board, and so did the surfer.",Do-x/ Do-so anaphora,Agent,0,1,0,11,dancer,##er,-7.446150779724121,-0.3484354019165039,,
68,14,AT – AT,"The dancer grabbed the board, and so did the monkey.",Do-x/ Do-so anaphora,Agent,0,1,0,10,dancer,monkey,-8.109490394592285,-7.5386738777160645,,
69,14,T – SP violation,"The carpenter grabbed the board, and so did the coffee.",Do-x/ Do-so anaphora,Agent,0,1,0,10,carpenter,coffee,-7.966144561767578,-9.730537414550781,,
70,15,T – T,"The pyromaniac starts the fire, and the pilot the race. ",Gapping,Agent,0,4,0,11,##iac,pilot,-0.2125682830810547,-7.573772430419922,,
71,15,T – AT,"The pyromaniac starts the fire, and the singer the race.",Gapping,Agent,0,4,0,11,##iac,singer,-0.1688404083251953,-8.331269264221191,,
72,15,AT – T,"The biker starts the fire, and the pilot the race.",Gapping,Agent,0,2,0,9,##r,pilot,-0.23749065399169922,-7.242803573608398,,
73,15,AT – AT,"The biker starts the fire, and the singer the race.",Gapping,Agent,0,2,0,9,##r,singer,-0.08494377136230469,-8.301057815551758,,
74,15,T – SP violation,"The pyromaniac starts the fire, and the leaf the race.",Gapping,Agent,0,4,0,11,##iac,leaf,-0.20816612243652344,-13.740556716918945,,
75,16,T – T,"The truck has hit the car, and the policeman the demonstrator.",Gapping,Agent,0,1,0,9,truck,policeman,-5.725658893585205,-6.209343433380127,,
76,16,T – AT,"The truck has hit the car, and the grandmother the demonstrator.",Gapping,Agent,0,1,0,9,truck,grandmother,-4.493211269378662,-12.232934951782227,,
77,16,AT – T,"The footballer has hit the car, and the policeman the demonstrator.",Gapping,Agent,0,1,0,9,footballer,policeman,-7.5861945152282715,-5.317897796630859,,
78,16,AT – AT,"The footballer has hit the car, and the grandmother the demonstrator.",Gapping,Agent,0,1,0,9,footballer,grandmother,-8.18134593963623,-11.58717155456543,,
79,16,T – SP violation,"The truck has hit the car, and the air the demonstrator.",Gapping,Agent,0,1,0,9,truck,air,-4.837186813354492,-8.551255226135254,,
80,17,T – T,"The biologist uses the microscope, and the teacher the blackboard.",Gapping,Agent,0,1,0,9,biologist,teacher,-9.204421997070312,-5.5900139808654785,,
81,17,T – AT,"The biologist uses the microscope, and the climber the blackboard.",Gapping,Agent,0,1,0,10,biologist,##er,-7.8331499099731445,-10.800731658935547,,
82,17,AT – T,"The barber uses the microscope, and the teacher the blackboard.",Gapping,Agent,0,2,0,10,##ber,teacher,-0.5379123687744141,-4.9461212158203125,,
83,17,AT – AT,"The barber uses the microscope, and the climber the blackboard.",Gapping,Agent,0,2,0,11,##ber,##er,-0.6312541961669922,-10.71043586730957,,
84,17,T – SP violation,"The biologist uses the microscope, and the bird the blackboard.",Gapping,Agent,0,1,0,9,biologist,bird,-8.50877857208252,-6.365342140197754,,
85,18,T – T,"The policeman fights the crime, and the firefighter the fire.",Gapping,Agent,0,1,0,8,policeman,fire,-3.9225759506225586,-0.0049285888671875,,
86,18,T – AT,"The policeman fights the crime, and the professor the fire.",Gapping,Agent,0,1,0,8,policeman,professor,-5.331253528594971,-8.73751163482666,,
87,18,AT – T,"The pupil fights the crime, and the firefighter the fire.",Gapping,Agent,0,1,0,8,pupil,fire,-11.961627006530762,-0.018583297729492188,,
88,18,AT – AT,"The pupil fights the crime, and the professor the fire.",Gapping,Agent,0,1,0,8,pupil,professor,-9.368085861206055,-6.6078925132751465,,
89,18,T – SP violation,"The policeman fights the crime, and the glass the fire.",Gapping,Agent,0,1,0,8,policeman,glass,-5.810025215148926,-11.368732452392578,,
90,19,T – T,"The bartender shook the drink, and the cheerleader the flag.",Gapping,Agent,0,1,0,9,bartender,##leader,-2.210110664367676,-12.335495948791504,,
91,19,T – AT,"The bartender shook the drink, and the waiter the flag.",Gapping,Agent,0,1,0,8,bartender,waiter,-1.0082273483276367,-3.2645578384399414,,
92,19,AT – T,"The athlete shook the drink, and the cheerleader the flag.",Gapping,Agent,0,1,0,9,athlete,##leader,-7.070923805236816,-11.507159233093262,,
93,19,AT – AT,"The athlete shook the drink, and the waiter the flag.",Gapping,Agent,0,1,0,8,athlete,waiter,-9.11886215209961,-5.20735502243042,,
94,19,T – SP violation,"The bartender shook the drink, and the stone the flag.",Gapping,Agent,0,1,0,8,bartender,stone,-3.9027976989746094,-9.715180397033691,,
95,20,T – T,"The hound fetches the bird, and the waiter the water.",Gapping,Agent,0,2,0,10,##und,waiter,-0.2098674774169922,-8.162897109985352,,
96,20,T – AT,"The hound fetches the bird, and the baker the water.",Gapping,Agent,0,2,0,11,##und,##aker,-0.21765708923339844,-5.492860794067383,,
97,20,AT – T,"The fish fetches the bird, and the waiter the water.",Gapping,Agent,0,1,0,9,fish,waiter,-7.873091697692871,-8.582096099853516,,
98,20,AT – AT,"The fish fetches the bird, and the baker the water.",Gapping,Agent,0,1,0,10,fish,##aker,-6.215584754943848,-5.694853782653809,,
99,20,T – SP violation,"The hound fetches the bird, and the car the water.",Gapping,Agent,0,2,0,10,##und,car,-0.17442703247070312,-9.078309059143066,,
100,21,T – T,"The nurse will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,0,1,0,9,nurse,hairs,-1.167088508605957,-4.341999053955078,,
101,21,T – AT,"The nurse will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,0,1,0,9,nurse,banker,-2.8542423248291016,-9.232978820800781,,
102,21,AT – T,"The carpenter will wash the infant, and the hairstylist will the hair.",Pseudo-gapping,Agent,0,1,0,11,carpenter,##list,-7.294342041015625,-0.28806304931640625,,
103,21,AT – AT,"The carpenter will wash the infant, and the banker will the hair.",Pseudo-gapping,Agent,0,1,0,9,carpenter,banker,-6.088723659515381,-8.265279769897461,,
104,21,T – SP violation,"The nurse will wash the infant, and the jacket will the hair. ",Pseudo-gapping,Agent,0,1,0,9,nurse,jacket,-3.3447723388671875,-12.710613250732422,,
105,22,T – T,"The student will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,0,1,0,10,student,##nny,-6.4163126945495605,-0.0733795166015625,,
106,22,T – AT,"The student will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,0,1,0,9,student,driver,-5.773089408874512,-7.257229804992676,,
107,22,AT – T,"The soldier will hear the lecture, and the nanny will the baby.",Pseudo-gapping,Agent,0,1,0,10,soldier,##nny,-7.221985340118408,-0.34053993225097656,,
108,22,AT – AT,"The soldier will hear the lecture, and the driver will the baby.",Pseudo-gapping,Agent,0,1,0,9,soldier,driver,-5.516097068786621,-6.902877330780029,,
109,22,T – SP violation,"The student will hear the lecture, and the moon will the baby.",Pseudo-gapping,Agent,0,1,0,9,student,moon,-10.456289291381836,-12.618678092956543,,
110,23,T – T,"The parent will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,0,1,0,9,parent,teacher,-3.9623289108276367,-1.8061323165893555,,
111,23,T – AT,"The parent will give a present, and the president will the homework.",Pseudo-gapping,Agent,0,1,0,9,parent,president,-9.03748893737793,-9.988716125488281,,
112,23,AT – T,"The cook will give a present, and the teacher will the homework.",Pseudo-gapping,Agent,0,1,0,9,cook,teacher,-6.730961322784424,-2.8645524978637695,,
113,23,AT – AT,"The cook will give a present, and the president will the homework.",Pseudo-gapping,Agent,0,1,0,9,cook,president,-9.39924430847168,-8.787581443786621,,
114,23,T – SP violation,"The parent will give a present, and the bird will the homework.",Pseudo-gapping,Agent,0,1,0,9,parent,bird,-7.617208480834961,-10.60677719116211,,
115,24,T – T,"The sergeant will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,0,1,0,9,sergeant,boss,-6.140091419219971,-3.5571041107177734,,
116,24,T – AT,"The sergeant will assign a mission, and the father will a job.",Pseudo-gapping,Agent,0,1,0,9,sergeant,father,-8.656755447387695,-9.208358764648438,,
117,24,AT – T,"The swimmer will assign a mission, and the boss will a job.",Pseudo-gapping,Agent,0,1,0,9,swimmer,boss,-13.54602336883545,-5.185821533203125,,
118,24,AT – AT,"The swimmer will assign a mission, and the father will a job.",Pseudo-gapping,Agent,0,1,0,9,swimmer,father,-14.730847358703613,-8.755453109741211,,
119,24,T – SP violation,"The sergeant will assign a mission, and the duck will a job.",Pseudo-gapping,Agent,0,1,0,9,sergeant,duck,-6.0655035972595215,-10.583786010742188,,
120,25,T – T,"The child will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent,0,1,0,10,child,##urer,-6.604213237762451,-3.493450164794922,,
121,25,T – AT,"The child will lend a pen, and the artist will the money.",Pseudo-gapping,Agent,0,1,0,9,child,artist,-5.605488300323486,-6.032648086547852,,
122,25,AT – T,"The traveller will lend a pen, and the usurer will the money.",Pseudo-gapping,Agent,0,2,0,11,##ler,##urer,-0.7384376525878906,-1.9396228790283203,,
123,25,AT – AT,"The traveller will lend a pen, and the artist will the money.",Pseudo-gapping,Agent,0,2,0,10,##ler,artist,-0.9363813400268555,-4.3232879638671875,,
124,25,T – SP violation,"The child will lend a pen, and the computer will the money.",Pseudo-gapping,Agent,0,1,0,9,child,computer,-6.716501235961914,-7.969142913818359,,
125,26,T – T,"The journalist writes an article, and the professor a book.",Gapping,Patient,4,4,10,10,article,book,-0.5131912231445312,-3.6936769485473633,-1.0573043823242188,-1.4765167236328125
126,26,T – AT,"The journalist writes an article, and the professor a magazine.",Gapping,Patient,4,4,10,10,article,magazine,-0.5717000961303711,-8.179723739624023,-1.0573043823242188,-6.149435520172119
127,26,AT – T,"The journalist writes a song, and the professor a book.",Gapping,Patient,4,4,10,10,song,book,-6.100311279296875,-4.297267913818359,-6.491539001464844,-1.7727489471435547
128,26,AT – AT,"The journalist writes a song, and the professor a magazine. ",Gapping,Patient,4,4,10,10,song,magazine,-6.153050422668457,-7.637376308441162,-6.491539001464844,-7.277338981628418
129,26,T – SP violation,"The journalist writes an article, and the professor an apple.",Gapping,Patient,4,4,10,10,article,apple,-1.3091049194335938,-9.594118118286133,-1.0573043823242188,-11.70964241027832
130,27,T – T,"The violinist will play the violin, and the musician a song.",Gapping,Patient,6,5,12,11,violin,song,-0.9013423919677734,-6.26041841506958,-3.78157901763916,-5.962612152099609
131,27,T – AT,"The violinist will play the violin, and the musician the flute.",Gapping,Patient,6,5,13,11,violin,flute,-0.6913995742797852,-3.017275810241699,-3.78157901763916,-0.012449264526367188
132,27,AT – T,"The violinist will play the trumpet, and the musician a song.",Gapping,Patient,6,5,12,11,trumpet,song,-5.681832313537598,-6.463530540466309,-6.81399393081665,-7.714790344238281
133,27,AT – AT,"The violinist will play the trumpet, and the musician the flute.",Gapping,Patient,6,5,13,11,trumpet,flute,-4.305095672607422,-2.6906490325927734,-6.81399393081665,-0.012506484985351562
134,27,T – SP violation,"The violinist will play the violin, and the musician the water.",Gapping,Patient,6,5,12,11,violin,water,-1.362081527709961,-10.321382522583008,-3.78157901763916,-9.60321044921875
135,28,T – T,"The florist sells flowers, and the butcher meat.",Gapping,Patient,5,5,10,10,flowers,meat,-1.8973579406738281,-9.023710250854492,-1.210123062133789,-9.462207794189453
136,28,T – AT,"The florist sells flowers, and the butcher weapons.",Gapping,Patient,5,5,10,10,flowers,weapons,-1.6735172271728516,-11.209688186645508,-1.210123062133789,-12.438516616821289
137,28,AT – T,"The florist sells bikes, and the butcher meat.",Gapping,Patient,5,5,10,10,bikes,meat,-9.789030075073242,-8.535404205322266,-12.28388786315918,-10.352691650390625
138,28,AT – AT,"The florist sells bikes, and the butcher weapons.",Gapping,Patient,5,5,10,10,bikes,weapons,-8.750455856323242,-11.82609748840332,-12.28388786315918,-12.558622360229492
139,28,T – SP violation,"The florist sells flowers, and the butcher the air.",Gapping,Patient,5,5,11,11,flowers,air,-1.359182357788086,-8.688089370727539,-1.210123062133789,-10.202923774719238
140,29,T – T,"The knight holds the sword, and the champion the cup.",Gapping,Patient,4,4,10,10,sword,cup,-1.555802345275879,-5.576657772064209,-1.8607416152954102,-7.20366907119751
141,29,T – AT,"The knight holds the sword, and the champion the guitar.",Gapping,Patient,4,4,10,10,sword,guitar,-1.112264633178711,-8.487174987792969,-1.8607416152954102,-10.448723793029785
142,29,AT – T,"The knight holds the camera, and the champion the cup.",Gapping,Patient,4,4,10,10,camera,cup,-10.490375518798828,-5.945444107055664,-7.537605285644531,-6.057618141174316
143,29,AT – AT,"The knight holds the camera, and the champion the guitar.",Gapping,Patient,4,4,10,10,camera,guitar,-8.072031021118164,-6.660129547119141,-7.537605285644531,-6.036169052124023
144,29,T – SP violation,"The knight holds the sword, and the champion the rain.",Gapping,Patient,4,4,10,10,sword,rain,-4.185243606567383,-10.797611236572266,-1.8607416152954102,-11.418625831604004
145,30,T – T,"The businessman is reading the report, and the customer the menu.",Gapping,Patient,5,5,11,11,report,menu,-7.071556091308594,-7.305599689483643,-5.0931525230407715,-6.49339485168457
146,30,T – AT,"The businessman is reading the report, and the customer the music.",Gapping,Patient,5,5,11,11,report,music,-7.976588249206543,-7.4245100021362305,-5.0931525230407715,-8.862074851989746
147,30,AT – T,"The businessman is reading fables, and the customer the menu.",Gapping,Patient,5,5,11,11,##ables,menu,-3.812389373779297,-8.376341819763184,-0.9615936279296875,-10.03719711303711
148,30,AT – AT,"The businessman is reading fables, and the customer the music.",Gapping,Patient,5,5,11,11,##ables,music,-1.3054304122924805,-5.658843040466309,-0.9615936279296875,-7.212986946105957
149,30,T – SP violation,"The businessman is reading the report, and the customer the cat.",Gapping,Patient,5,5,11,11,report,cat,-6.66382360458374,-6.18770694732666,-5.0931525230407715,-9.258551597595215
150,31,T – T,"The astronomer was observing the stars, and the teacher her pupils.",Gapping,Patient,5,5,11,11,stars,pupils,-5.8318023681640625,-4.8380446434021,-3.8648433685302734,-1.7272796630859375
151,31,T – AT,"The astronomer was observing the stars, and the teacher her sunglasses.",Gapping,Patient,5,5,11,11,stars,sunglasses,-5.781038761138916,-11.269222259521484,-3.8648433685302734,-12.779989242553711
152,31,AT – T,"The astronomer was observing the plants, and the teacher her pupils.",Gapping,Patient,5,5,11,11,plants,pupils,-7.911104679107666,-4.387241363525391,-11.811393737792969,-2.32523250579834
153,31,AT – AT,"The astronomer was observing the plants, and the teacher her sunglasses.",Gapping,Patient,5,5,11,11,plants,sunglasses,-8.42874526977539,-11.334425926208496,-11.811393737792969,-12.004861831665039
154,31,T – SP violation,"The astronomer was observing the plants, and the teacher her problems.",Gapping,Patient,5,5,11,11,plants,problems,-8.192911148071289,-8.344245910644531,-11.811393737792969,-9.026327133178711
155,32,T – T,"The mechanic is renting a truck, and the manager a room.",Gapping,Patient,5,6,11,12,truck,room,-4.155400276184082,-4.874232292175293,-3.707181930541992,-5.8113932609558105
156,32,T – AT,"The mechanic is renting a truck, and the manager a kayak.",Gapping,Patient,5,6,12,14,truck,##k,-3.644918441772461,-0.3105354309082031,-3.707181930541992,-0.00772857666015625
157,32,AT – T,"The mechanic is renting a boat, and the manager a room.",Gapping,Patient,5,6,11,12,boat,room,-4.470952987670898,-5.250992298126221,-4.826829433441162,-5.123499870300293
158,32,AT – AT,"The mechanic is renting a boat, and the manager a kayak.",Gapping,Patient,5,6,12,14,boat,##k,-0.9008598327636719,-0.4813671112060547,-4.826829433441162,-0.0097198486328125
159,32,T – SP violation,"The mechanic is renting a truck, and the manager the idea.",Gapping,Patient,5,6,11,12,truck,idea,-3.621243476867676,-8.881370544433594,-3.707181930541992,-8.095367431640625
160,33,T – T,"The scientist reported a finding, and the witness a crime.",Gapping,Patient,4,4,10,10,finding,crime,-4.81153678894043,-7.533031463623047,-5.458402156829834,-6.780365467071533
161,33,T – AT,"The scientist reported a finding, and the witness a birth.",Gapping,Patient,4,4,10,10,finding,birth,-6.927402019500732,-11.217249870300293,-5.458402156829834,-10.661907196044922
162,33,AT – T,"The scientist reported a marriage, and the witness a crime.",Gapping,Patient,4,4,10,10,marriage,crime,-8.13147258758545,-6.553910255432129,-9.916411399841309,-7.9444451332092285
163,33,AT – AT,"The scientist reported a marriage, and the witness a birth.",Gapping,Patient,4,4,10,10,marriage,birth,-4.695775032043457,-7.2748122215271,-9.916411399841309,-4.834010124206543
164,33,T – SP violation,"The scientist reported a finding, and the witness the water.",Gapping,Patient,4,4,10,10,finding,water,-7.0805559158325195,-9.06207275390625,-5.458402156829834,-8.838708877563477
